var,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Z[368],0.029333333,0.168767245,0,0,0,0,1,1.000799533,3000
Z[369],0,0,0,0,0,0,0,1,1
Z[37],1,0,1,1,1,1,1,1,1
Z[370],0.007666667,0.087237754,0,0,0,0,0,1.017258404,3000
Z[371],0.052666667,0.223404399,0,0,0,0,1,1.001524944,3000
Z[372],0.004333333,0.065696227,0,0,0,0,0,1.002470446,3000
Z[373],0,0,0,0,0,0,0,1,1
Z[374],0.028333333,0.165951003,0,0,0,0,1,1.008463624,2000
Z[375],0.02,0.140023339,0,0,0,0,0,1.005100023,3000
Z[376],0.001,0.03161223,0,0,0,0,0,1.133723333,3000
Z[377],0,0,0,0,0,0,0,1,1
Z[378],0,0,0,0,0,0,0,1,1
Z[379],0.049666667,0.217291572,0,0,0,0,1,1.002807898,3000
Z[38],1,0,1,1,1,1,1,1,1
Z[380],0.097333333,0.29646054,0,0,0,0,1,1.002442272,1900
Z[381],0.051,0.220034403,0,0,0,0,1,1.002269772,3000
Z[382],0.033666667,0.180399751,0,0,0,0,1,1.000545717,3000
Z[383],0.044666667,0.206605383,0,0,0,0,1,1.005350995,2000
Z[384],0.000333333,0.018257419,0,0,0,0,0,1.290903825,3000
Z[385],0.005666667,0.07507619,0,0,0,0,0,1.021524904,3000
Z[386],0.133333333,0.339991304,0,0,0,0,1,1.000846189,3000
Z[387],1,0,1,1,1,1,1,1,1
Z[388],0.094333333,0.292340629,0,0,0,0,1,1.002708109,1800
Z[389],0.043666667,0.204386432,0,0,0,0,1,1.003895893,2700
Z[39],1,0,1,1,1,1,1,1,1
Z[390],0.064,0.244793739,0,0,0,0,1,1.003006921,2400
Z[391],0.095,0.29326382,0,0,0,0,1,1.001687854,2700
Z[392],0.042666667,0.202138176,0,0,0,0,1,1.006871129,1600
Z[393],0.071333333,0.257423732,0,0,0,0,1,1.001409554,3000
